text,label,language
Idi ela pani chestundi,1,te
Can you give me an example of Kubernetes,1,en
Weekend ki travel veltha.,0,te
Aaj bahut traffic tha.,0,hi
Help cheyyi OAuth.,1,te
Tomorrow I'll study Linux.,0,en
Main chai pi raha hu.,0,hi
Aaj bahut traffic tha.,0,hi
Weekend ki travel veltha.,0,te
Idi ela pani chestundi,1,te
Lunch ho gaya.,0,hi
I completed my work.,0,en
Best suggestion do OAuth ke liye.,1,hi
Ippudu office lo unna.,0,te
I'm going to the office.,0,en
How do I fix this error in CSS,1,en
I'm listening to music.,0,en
Oka example cheppu Python.,1,te
Can you explain API,1,en
Step by step explain cheyyi NumPy.,1,te
Office ka kaam khatam hua.,0,hi
Help karo LLM me.,1,hi
I watched a movie yesterday.,0,en
I'm listening to music.,0,en
Movie chala bagundi.,0,te
JWT kaise seekhun,1,hi
Aaj mausam accha hai.,0,hi
Ippudu office lo unna.,0,te
Na friend ni kalisanu.,0,te
Ye problem kaise fix karu,1,hi
Suggest cheyyi best way for RAG.,1,te
Main music sun raha hu.,0,hi
Aaj bahut traffic tha.,0,hi
Suggest the best way to learn Git.,1,en
Ivala weather bagundi.,0,te
Kal NumPy practice karunga.,0,hi
Main ghar ja raha hu.,0,hi
Ippudu office lo unna.,0,te
Suggest cheyyi best way for API.,1,te
Best suggestion do JavaScript ke liye.,1,hi
How do I learn Kubernetes,1,en
Step by step batao Kubernetes.,1,hi
Help cheyyi Docker.,1,te
Repu AWS practice chestha.,0,te
I'm going to the office.,0,en
I'm listening to music.,0,en
I like learning Linux.,0,en
I like learning RAG.,0,en
Lunch ho gaya.,0,hi
Movie chala bagundi.,0,te
Main ghar ja raha hu.,0,hi
Suggest the best way to learn Azure.,1,en
Step by step explain cheyyi CSS.,1,te
I didn't understand NumPy.,1,en
Suggest the best way to learn Pandas.,1,en
Movie chala bagundi.,0,te
Best suggestion do Kubernetes ke liye.,1,hi
Can you solve this timeout,1,en
Help karo React me.,1,hi
Mujhe CSS me doubt hai.,1,hi
Can you give me an example of JWT,1,en
Mujhe CSS samjhao.,1,hi
Ippudu office lo unna.,0,te
Ivala weather bagundi.,0,te
Mujhe Azure samjhao.,1,hi
Why is this happening in JavaScript,1,en
Weekend pe travel karunga.,0,hi
I completed my work.,0,en
Azure kaise seekhun,1,hi
The weather is nice today.,0,en
Ee warning enduku vastundi,1,te
Lunch ayipoyindi.,0,te
Why is this happening in API,1,en
Suggest cheyyi best way for JavaScript.,1,te
Tomorrow I'll study API.,0,en
JavaScript ante enti,1,te
Lunch ho gaya.,0,hi
Kal Linux practice karunga.,0,hi
Best suggestion do Python ke liye.,1,hi
Weekend pe travel karunga.,0,hi
The weather is nice today.,0,en
Step by step batao RAG.,1,hi
Step by step explain cheyyi RAG.,1,te
Kal LLM practice karunga.,0,hi
Help karo JavaScript me.,1,hi
Today is a busy day.,0,en
Can you give me an example of Pandas,1,en
Azure ela nerchukovali,1,te
NumPy ela nerchukovali,1,te
Can you explain CSS,1,en
Nenu song vintunna.,0,te
Today is a busy day.,0,en
Today is a busy day.,0,en
Oka example cheppu Pandas.,1,te
Ippudu office lo unna.,0,te
Tomorrow I'll study Docker.,0,en
Repu Networking practice chestha.,0,te
Lunch ho gaya.,0,hi
Aaj mausam accha hai.,0,hi
Lunch ayipoyindi.,0,te
Weekend ki travel veltha.,0,te
Mujhe Azure me doubt hai.,1,hi
Weekend pe travel karunga.,0,hi
Repu CSS practice chestha.,0,te
Weekend pe travel karunga.,0,hi
I'm listening to music.,0,en
Weekend ki travel veltha.,0,te
I'm reading a book.,0,en
I like learning Linux.,0,en
What is Azure,1,en
Tomorrow I'll study Git.,0,en
Help karo Kubernetes me.,1,hi
I watched a movie yesterday.,0,en
Help me understand AWS.,1,en
Lunch ayipoyindi.,0,te
Aaj bahut traffic tha.,0,hi
Ippudu office lo unna.,0,te
Kal movie dekhi.,0,hi
Office ka kaam khatam hua.,0,hi
JWT kaise seekhun,1,hi
Help me understand Docker.,1,en
I didn't understand Docker.,1,en
API kaise seekhun,1,hi
Coffee tagutunna.,0,te
Kal movie dekhi.,0,hi
Coffee tagutunna.,0,te
Weekend ki travel veltha.,0,te
Aaj bahut traffic tha.,0,hi
Nenu song vintunna.,0,te
Can you explain OAuth,1,en
Best suggestion do CSS ke liye.,1,hi
Ye kaise kaam karta hai,1,hi
Help cheyyi API.,1,te
Step by step batao FastAPI.,1,hi
Kal RAG practice karunga.,0,hi
Ippudu office lo unna.,0,te
Step by step batao LLM.,1,hi
What is Linux,1,en
Step by step batao Networking.,1,hi
Main ghar ja raha hu.,0,hi
Idi ela pani chestundi,1,te
Help me understand AWS.,1,en
Mujhe Kubernetes me doubt hai.,1,hi
Nenu intiki velthunna.,0,te
Ippudu office lo unna.,0,te
Ee bug enduku vastundi,1,te
What is LLM,1,en
Office ka kaam khatam hua.,0,hi
Step by step batao JavaScript.,1,hi
Nenu song vintunna.,0,te
Main ghar ja raha hu.,0,hi
Aaj mausam accha hai.,0,hi
Ivala weather bagundi.,0,te
Mujhe Git samjhao.,1,hi
Why is this happening in RAG,1,en
How do I learn NumPy,1,en
I completed my work.,0,en
I like learning JWT.,0,en
I'm reading a book.,0,en
Suggest cheyyi best way for OAuth.,1,te
Can you give me an example of React,1,en
Ye error kaise fix karu,1,hi
Lunch ayipoyindi.,0,te
Na friend ni kalisanu.,0,te
Today is a busy day.,0,en
Idi ela pani chestundi,1,te
Kal JavaScript practice karunga.,0,hi
Oka example cheppu NumPy.,1,te
Help me understand Kubernetes.,1,en
Idi ela pani chestundi,1,te
Na friend ni kalisanu.,0,te
Aaj bahut traffic tha.,0,hi
Ee issue enduku vastundi,1,te
Why is this happening in Pandas,1,en
Docker kya hai,1,hi
Main music sun raha hu.,0,hi
Nenu intiki velthunna.,0,te
Oka example cheppu AWS.,1,te
Oka example cheppu NumPy.,1,te
Main ghar ja raha hu.,0,hi
Repu API practice chestha.,0,te
Why is this happening in FastAPI,1,en
JWT ante enti,1,te
Ippudu office lo unna.,0,te
Main music sun raha hu.,0,hi
How do I fix this problem in LLM,1,en
FastAPI ante enti,1,te
Main chai pi raha hu.,0,hi
The weather is nice today.,0,en
Can you give me an example of React,1,en
Coffee tagutunna.,0,te
Step by step explain cheyyi Networking.,1,te
Help karo JavaScript me.,1,hi
I completed my work.,0,en
Aaj mausam accha hai.,0,hi
Naku doubt undi FastAPI meeda.,1,te
Can you solve this exception,1,en
Naku doubt undi RAG meeda.,1,te
Nenu intiki velthunna.,0,te
Main music sun raha hu.,0,hi
I watched a movie yesterday.,0,en
Main ghar ja raha hu.,0,hi
Git kaise seekhun,1,hi
Can you explain Python,1,en
React kaise seekhun,1,hi
Main chai pi raha hu.,0,hi
Help me understand Linux.,1,en
Ippudu office lo unna.,0,te
API kaise seekhun,1,hi
Weekend ki travel veltha.,0,te
Help cheyyi OAuth.,1,te
What is LLM,1,en
Ivala weather bagundi.,0,te
Main music sun raha hu.,0,hi
Lunch ho gaya.,0,hi
Lunch ho gaya.,0,hi
How do I learn NumPy,1,en
I'm listening to music.,0,en
How do I fix this warning in JWT,1,en
Nenu intiki velthunna.,0,te
Lunch ayipoyindi.,0,te
Kal Linux practice karunga.,0,hi
Lunch ayipoyindi.,0,te
Ippudu office lo unna.,0,te
How do I learn AWS,1,en
Mujhe Pandas me doubt hai.,1,hi
Naku doubt undi Azure meeda.,1,te
Na friend ni kalisanu.,0,te
Kal movie dekhi.,0,hi
How do I learn LLM,1,en
Ye problem kaise fix karu,1,hi
I'm going to the office.,0,en
Lunch ho gaya.,0,hi
Naku doubt undi CSS meeda.,1,te
Lunch ayipoyindi.,0,te
Help cheyyi CSS.,1,te
Can you solve this crash,1,en
Naku doubt undi Networking meeda.,1,te
How do I learn OAuth,1,en
I like learning AWS.,0,en
Why is this happening in Pandas,1,en
LLM ela nerchukovali,1,te
I'm reading a book.,0,en
Movie chala bagundi.,0,te
Main music sun raha hu.,0,hi
Ee crash enduku vastundi,1,te
Ye crash kaise fix karu,1,hi
Lunch ayipoyindi.,0,te
Kal movie dekhi.,0,hi
Oka example cheppu CSS.,1,te
Help cheyyi Kubernetes.,1,te
Idi ela pani chestundi,1,te
Naku FastAPI ardham kaaledu.,1,te
Nenu song vintunna.,0,te
Lunch ayipoyindi.,0,te
I'm going to the office.,0,en
OAuth ka example do.,1,hi
Git kya hai,1,hi
Tomorrow I'll study CSS.,0,en
Oka example cheppu CSS.,1,te
Na friend ni kalisanu.,0,te
Naku doubt undi LLM meeda.,1,te
JWT kya hai,1,hi
Weekend pe travel karunga.,0,hi
Naku doubt undi NumPy meeda.,1,te
Help me understand API.,1,en
JWT ela nerchukovali,1,te
Movie chala bagundi.,0,te
Why is this happening in API,1,en
I like learning SQL.,0,en
Today is a busy day.,0,en
Idi ela pani chestundi,1,te
Suggest the best way to learn Linux.,1,en
Movie chala bagundi.,0,te
Suggest cheyyi best way for JavaScript.,1,te
Idi ela pani chestundi,1,te
Step by step batao SQL.,1,hi
I'm listening to music.,0,en
I like learning Docker.,0,en
Naku doubt undi Docker meeda.,1,te
What is Docker,1,en
How do I learn NumPy,1,en
The weather is nice today.,0,en
Git kaise seekhun,1,hi
Ye bug kaise fix karu,1,hi
Office ka kaam khatam hua.,0,hi
Ye kaise kaam karta hai,1,hi
Ye bug kaise fix karu,1,hi
How do I fix this timeout in Git,1,en
CSS kaise seekhun,1,hi
Na friend ni kalisanu.,0,te
Kal RAG practice karunga.,0,hi
Python kya hai,1,hi
AWS ka example do.,1,hi
Main ghar ja raha hu.,0,hi
Ee crash enduku vastundi,1,te
Kal movie dekhi.,0,hi
Repu Pandas practice chestha.,0,te
Weekend pe travel karunga.,0,hi
Repu LLM practice chestha.,0,te
Best suggestion do JavaScript ke liye.,1,hi
Help cheyyi CSS.,1,te
Can you explain LLM,1,en
Nenu intiki velthunna.,0,te
Repu AWS practice chestha.,0,te
Ye problem kaise fix karu,1,hi
Can you explain Pandas,1,en
Mujhe RAG samjhao.,1,hi
Naku Pandas ardham kaaledu.,1,te
Mujhe SQL me doubt hai.,1,hi
Movie chala bagundi.,0,te
I'm going to the office.,0,en
Main chai pi raha hu.,0,hi
I completed my work.,0,en
Step by step batao AWS.,1,hi
Ye timeout kaise fix karu,1,hi
Help karo OAuth me.,1,hi
Can you solve this timeout,1,en
Can you explain CSS,1,en
Ee warning enduku vastundi,1,te
Lunch ho gaya.,0,hi
I like learning Linux.,0,en
Mujhe React samjhao.,1,hi
Can you explain CSS,1,en
Can you solve this timeout,1,en
Best suggestion do Python ke liye.,1,hi
Ivala weather bagundi.,0,te
Ee permission error enduku vastundi,1,te
SQL ela nerchukovali,1,te
Nenu intiki velthunna.,0,te
Step by step batao FastAPI.,1,hi
I'm reading a book.,0,en
Lunch ho gaya.,0,hi
What is Git,1,en
Step by step explain cheyyi FastAPI.,1,te
API kya hai,1,hi
React ka example do.,1,hi
Ippudu office lo unna.,0,te
Docker ante enti,1,te
Naku LLM ardham kaaledu.,1,te
Main music sun raha hu.,0,hi
Office ka kaam khatam hua.,0,hi
Lunch ho gaya.,0,hi
I'm reading a book.,0,en
Docker ante enti,1,te
Weekend ki travel veltha.,0,te
Naku OAuth ardham kaaledu.,1,te
Aaj bahut traffic tha.,0,hi
Ye kaise kaam karta hai,1,hi
Ye error kaise fix karu,1,hi
Weekend ki travel veltha.,0,te
Can you give me an example of Pandas,1,en
Can you explain RAG,1,en
Best suggestion do AWS ke liye.,1,hi
Main chai pi raha hu.,0,hi
Mujhe Azure me doubt hai.,1,hi
I finished my lunch.,0,en
Lunch ayipoyindi.,0,te
I completed my work.,0,en
Can you explain LLM,1,en
Help karo NumPy me.,1,hi
Weekend ki travel veltha.,0,te
Aaj mausam accha hai.,0,hi
Coffee tagutunna.,0,te
Help me understand JWT.,1,en
FastAPI kaise seekhun,1,hi
Naku doubt undi Git meeda.,1,te
I like learning Pandas.,0,en
Ye kaise kaam karta hai,1,hi
Ye crash kaise fix karu,1,hi
I watched a movie yesterday.,0,en
Step by step batao SQL.,1,hi
Can you solve this exception,1,en
How do I fix this timeout in OAuth,1,en
Aaj bahut traffic tha.,0,hi
Kal movie dekhi.,0,hi
I'm listening to music.,0,en
AWS kaise seekhun,1,hi
Na friend ni kalisanu.,0,te
Main music sun raha hu.,0,hi
Aaj mausam accha hai.,0,hi
Can you give me an example of CSS,1,en
Main music sun raha hu.,0,hi
Main chai pi raha hu.,0,hi
Kal RAG practice karunga.,0,hi
Why is this happening in Pandas,1,en
Linux kya hai,1,hi
Ye warning kaise fix karu,1,hi
I'm going to the office.,0,en
Step by step explain cheyyi Kubernetes.,1,te
Kal Linux practice karunga.,0,hi
Step by step explain cheyyi CSS.,1,te
I'm going to the office.,0,en
Idi ela pani chestundi,1,te
I watched a movie yesterday.,0,en
Naku doubt undi CSS meeda.,1,te
Step by step batao AWS.,1,hi
Nenu intiki velthunna.,0,te
I like learning SQL.,0,en
Main chai pi raha hu.,0,hi
Nenu song vintunna.,0,te
Ippudu office lo unna.,0,te
Idi ela pani chestundi,1,te
Can you solve this permission error,1,en
Help karo Python me.,1,hi
Lunch ho gaya.,0,hi
Kal Networking practice karunga.,0,hi
Azure ka example do.,1,hi
Ye kaise kaam karta hai,1,hi
Help karo React me.,1,hi
Naku Python ardham kaaledu.,1,te
Can you explain React,1,en
Lunch ho gaya.,0,hi
I'm going to the office.,0,en
Kal movie dekhi.,0,hi
Naku AWS ardham kaaledu.,1,te
Suggest cheyyi best way for Docker.,1,te
Tomorrow I'll study JWT.,0,en
Step by step explain cheyyi FastAPI.,1,te
JavaScript ante enti,1,te
AWS kya hai,1,hi
Na friend ni kalisanu.,0,te
I finished my lunch.,0,en
I watched a movie yesterday.,0,en
Linux ka example do.,1,hi
LLM ka example do.,1,hi
Can you solve this warning,1,en
Aaj bahut traffic tha.,0,hi
Why is this happening in API,1,en
I completed my work.,0,en
Suggest cheyyi best way for Git.,1,te
Ivala weather bagundi.,0,te
Naku doubt undi AWS meeda.,1,te
Help me understand React.,1,en
Kal Git practice karunga.,0,hi
Suggest cheyyi best way for AWS.,1,te
Best suggestion do LLM ke liye.,1,hi
Repu FastAPI practice chestha.,0,te
I finished my lunch.,0,en
Aaj bahut traffic tha.,0,hi
Step by step explain cheyyi OAuth.,1,te
Step by step explain cheyyi Python.,1,te
Step by step explain cheyyi JavaScript.,1,te
Ee permission error enduku vastundi,1,te
Can you solve this permission error,1,en
Help cheyyi SQL.,1,te
Why is this happening in FastAPI,1,en
Naku Pandas ardham kaaledu.,1,te
Can you solve this problem,1,en
Ye kaise kaam karta hai,1,hi
I finished my lunch.,0,en
Movie chala bagundi.,0,te
Coffee tagutunna.,0,te
Help me understand React.,1,en
Kal movie dekhi.,0,hi
Nenu song vintunna.,0,te
Weekend pe travel karunga.,0,hi
Weekend ki travel veltha.,0,te
Can you give me an example of React,1,en
I like learning NumPy.,0,en
OAuth ela nerchukovali,1,te
Kal movie dekhi.,0,hi
Kal movie dekhi.,0,hi
Ye warning kaise fix karu,1,hi
Step by step explain cheyyi AWS.,1,te
Kal movie dekhi.,0,hi
Coffee tagutunna.,0,te
Kubernetes kya hai,1,hi
Can you explain Git,1,en
Pandas ela nerchukovali,1,te
Help karo AWS me.,1,hi
Best suggestion do Linux ke liye.,1,hi
I like learning API.,0,en
Help cheyyi Azure.,1,te
Main music sun raha hu.,0,hi
Aaj bahut traffic tha.,0,hi
The weather is nice today.,0,en
Help karo Git me.,1,hi
Can you give me an example of Git,1,en
I'm going to the office.,0,en
Coffee tagutunna.,0,te
Main ghar ja raha hu.,0,hi
I didn't understand Pandas.,1,en
What is Pandas,1,en
I'm listening to music.,0,en
Kubernetes kaise seekhun,1,hi
Nenu song vintunna.,0,te
Kal movie dekhi.,0,hi
Weekend ki travel veltha.,0,te
I'm reading a book.,0,en
Nenu song vintunna.,0,te
Mujhe Networking samjhao.,1,hi
Help me understand API.,1,en
Nenu song vintunna.,0,te
Ye issue kaise fix karu,1,hi
Help cheyyi Azure.,1,te
Mujhe API samjhao.,1,hi
Aaj mausam accha hai.,0,hi
Mujhe RAG samjhao.,1,hi
Naku Docker ardham kaaledu.,1,te
Can you solve this warning,1,en
Today is a busy day.,0,en
Help me understand OAuth.,1,en
How do I fix this permission error in Docker,1,en
Main ghar ja raha hu.,0,hi
Ye problem kaise fix karu,1,hi
Can you solve this syntax error,1,en
Oka example cheppu Azure.,1,te
Nenu intiki velthunna.,0,te
Help me understand Azure.,1,en
Mujhe FastAPI me doubt hai.,1,hi
The weather is nice today.,0,en
Main chai pi raha hu.,0,hi
API ela nerchukovali,1,te
Naku RAG ardham kaaledu.,1,te
The weather is nice today.,0,en
I didn't understand OAuth.,1,en
Naku Pandas ardham kaaledu.,1,te
How do I learn OAuth,1,en
Ye warning kaise fix karu,1,hi
Nenu song vintunna.,0,te
Repu OAuth practice chestha.,0,te
Office ka kaam khatam hua.,0,hi
Can you solve this problem,1,en
SQL kaise seekhun,1,hi
Main music sun raha hu.,0,hi
Nenu intiki velthunna.,0,te
Weekend ki travel veltha.,0,te
Ye kaise kaam karta hai,1,hi
Why is this happening in Python,1,en
Naku doubt undi Azure meeda.,1,te
The weather is nice today.,0,en
Coffee tagutunna.,0,te
I finished my lunch.,0,en
I watched a movie yesterday.,0,en
Movie chala bagundi.,0,te
Why is this happening in JavaScript,1,en
How do I fix this issue in FastAPI,1,en
I'm going to the office.,0,en
Coffee tagutunna.,0,te
Why is this happening in RAG,1,en
Na friend ni kalisanu.,0,te
Oka example cheppu JWT.,1,te
Na friend ni kalisanu.,0,te
Today is a busy day.,0,en
Ye bug kaise fix karu,1,hi
Suggest cheyyi best way for Python.,1,te
What is Linux,1,en
Main music sun raha hu.,0,hi
Aaj mausam accha hai.,0,hi
Naku Kubernetes ardham kaaledu.,1,te
Kal movie dekhi.,0,hi
Coffee tagutunna.,0,te
Kubernetes kaise seekhun,1,hi
Main music sun raha hu.,0,hi
Networking ante enti,1,te
Repu React practice chestha.,0,te
Mujhe Docker samjhao.,1,hi
JavaScript ela nerchukovali,1,te
SQL kaise seekhun,1,hi
Movie chala bagundi.,0,te
FastAPI ante enti,1,te
Mujhe Git me doubt hai.,1,hi
Can you solve this warning,1,en
Can you give me an example of Kubernetes,1,en
Step by step batao Pandas.,1,hi
Nenu intiki velthunna.,0,te
I watched a movie yesterday.,0,en
How do I fix this timeout in API,1,en
I like learning React.,0,en
Ye kaise kaam karta hai,1,hi
I finished my lunch.,0,en
I'm reading a book.,0,en
I didn't understand Networking.,1,en
Weekend pe travel karunga.,0,hi
Mujhe JavaScript samjhao.,1,hi
Mujhe OAuth samjhao.,1,hi
React kaise seekhun,1,hi
I'm going to the office.,0,en
The weather is nice today.,0,en
Help cheyyi Kubernetes.,1,te
How do I learn Kubernetes,1,en
Tomorrow I'll study OAuth.,0,en
Main music sun raha hu.,0,hi
SQL kaise seekhun,1,hi
Today is a busy day.,0,en
I'm reading a book.,0,en
I'm listening to music.,0,en
Ivala weather bagundi.,0,te
Nenu intiki velthunna.,0,te
Networking ka example do.,1,hi
What is Git,1,en
What is SQL,1,en
I'm going to the office.,0,en
Step by step explain cheyyi OAuth.,1,te
Ye kaise kaam karta hai,1,hi
RAG ante enti,1,te
Coffee tagutunna.,0,te
Kal RAG practice karunga.,0,hi
I watched a movie yesterday.,0,en
I watched a movie yesterday.,0,en
Nenu song vintunna.,0,te
Office ka kaam khatam hua.,0,hi
I'm reading a book.,0,en
Mujhe LLM me doubt hai.,1,hi
JWT ante enti,1,te
Main chai pi raha hu.,0,hi
How do I learn Python,1,en
I like learning Networking.,0,en
I finished my lunch.,0,en
Kal JWT practice karunga.,0,hi
Nenu song vintunna.,0,te
How do I fix this crash in Networking,1,en
I watched a movie yesterday.,0,en
I'm going to the office.,0,en
Best suggestion do OAuth ke liye.,1,hi
Idi ela pani chestundi,1,te
Nenu intiki velthunna.,0,te
Movie chala bagundi.,0,te
I watched a movie yesterday.,0,en
The weather is nice today.,0,en
I'm going to the office.,0,en
Repu OAuth practice chestha.,0,te
Docker ka example do.,1,hi
Movie chala bagundi.,0,te
Suggest cheyyi best way for React.,1,te
Nenu intiki velthunna.,0,te
Lunch ayipoyindi.,0,te
Mujhe RAG samjhao.,1,hi
I completed my work.,0,en
Step by step batao Pandas.,1,hi
How do I fix this issue in React,1,en
Idi ela pani chestundi,1,te
Ye issue kaise fix karu,1,hi
Oka example cheppu CSS.,1,te
Nenu intiki velthunna.,0,te
Tomorrow I'll study NumPy.,0,en
Naku AWS ardham kaaledu.,1,te
FastAPI ela nerchukovali,1,te
What is SQL,1,en
Ye bug kaise fix karu,1,hi
Lunch ayipoyindi.,0,te
Ye kaise kaam karta hai,1,hi
I finished my lunch.,0,en
Coffee tagutunna.,0,te
Ee bug enduku vastundi,1,te
Main ghar ja raha hu.,0,hi
Repu Networking practice chestha.,0,te
How do I learn SQL,1,en
Coffee tagutunna.,0,te
How do I learn RAG,1,en
Python kya hai,1,hi
Main chai pi raha hu.,0,hi
What is SQL,1,en
Suggest the best way to learn React.,1,en
The weather is nice today.,0,en
Mujhe FastAPI me doubt hai.,1,hi
What is Networking,1,en
I watched a movie yesterday.,0,en
Office ka kaam khatam hua.,0,hi
Step by step batao Python.,1,hi
Kal Python practice karunga.,0,hi
Lunch ho gaya.,0,hi
Aaj mausam accha hai.,0,hi
Ye kaise kaam karta hai,1,hi
Can you solve this problem,1,en
Na friend ni kalisanu.,0,te
I like learning AWS.,0,en
Ye kaise kaam karta hai,1,hi
I like learning React.,0,en
Repu SQL practice chestha.,0,te
Kal movie dekhi.,0,hi
Nenu song vintunna.,0,te
Lunch ayipoyindi.,0,te
Repu OAuth practice chestha.,0,te
Idi ela pani chestundi,1,te
Mujhe Linux samjhao.,1,hi
Step by step batao LLM.,1,hi
Aaj bahut traffic tha.,0,hi
Ye timeout kaise fix karu,1,hi
I'm going to the office.,0,en
Naku LLM ardham kaaledu.,1,te
Ye kaise kaam karta hai,1,hi
Can you explain SQL,1,en
Oka example cheppu Git.,1,te
Step by step batao JWT.,1,hi
Today is a busy day.,0,en
Can you explain AWS,1,en
Best suggestion do API ke liye.,1,hi
Main music sun raha hu.,0,hi
I finished my lunch.,0,en
CSS ela nerchukovali,1,te
Movie chala bagundi.,0,te
Mujhe React samjhao.,1,hi
Mujhe React me doubt hai.,1,hi
Main music sun raha hu.,0,hi
Main ghar ja raha hu.,0,hi
Can you explain Azure,1,en
Suggest cheyyi best way for SQL.,1,te
I'm reading a book.,0,en
Ye permission error kaise fix karu,1,hi
Na friend ni kalisanu.,0,te
Can you give me an example of Networking,1,en
How do I learn SQL,1,en
I'm reading a book.,0,en
Help cheyyi RAG.,1,te
I'm going to the office.,0,en
The weather is nice today.,0,en
Office ka kaam khatam hua.,0,hi
How do I fix this error in Networking,1,en
Weekend pe travel karunga.,0,hi
Ee bug enduku vastundi,1,te
Idi ela pani chestundi,1,te
I'm listening to music.,0,en
